uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale
1,080480000707,Columbine High School,0804800,Jefferson County R-1,4/20/1999,1998-1999,1999,11:19 AM,Tuesday,Littleton,Colorado,public,1965,13,21,34,indiscriminate,18,m,w,student,1,suicide,17,m,w,student,1,suicide,1783,16,112,42,12,,,1,"12-gauge Savage-Springfield 67H pump-action shotgun, Hi-Point 995 Carbine 9 mm carbine, 9_19mm Intratec TEC-9 semi-automatic handgun, 12-gauge Stevens 311D double-barreled sawed-off shotgun",purchased from friends,39.60391,-105.075,89.6,9,12,41,Jefferson County,08,08059,21
2,220054000422,Scotlandville Middle School,2200540,East Baton Rouge Parish School Board,4/22/1999,1998-1999,1999,12:30 PM,Thursday,Baton Rouge,Louisiana,public,588,0,1,1,targeted,14,m,,former student (expelled),0,,,,,,,,5,583,0,0,0,,,0,.22 caliber pistol,,30.529958,-91.169966,39,6,8,495,East Baton Rouge Parish,22,22033,12
3,130441001591,Heritage High School,1304410,Rockdale County,5/20/1999,1998-1999,1999,8:03 AM,Thursday,Conyers,Georgia,public,1369,0,6,6,indiscriminate,15,m,w,student,0,,,,,,,,1189,136,28,15,1,,,1,".22 caliber rifle, 357-caliber Magnum handgun",,33.626922,-84.04796,84,9,12,125,Rockdale County,13,13247,21
4,421899003847,John Bartram High School,4218990,Philadelphia City SD,10/4/1999,1999-2000,1999,10:00 AM,Monday,Philadelphia,Pennsylvania,public,3147,0,1,1,targeted,17,m,,student,0,,,,,,,,209,2736,27,170,5,,,1,RG .25-caliber pistol,purchased from friend,39.921509,-75.234108,41,9,12,2007,Philadelphia County,42,42101,11
5,250279000225,Dorchester High School,2502790,Boston,11/3/1999,1999-2000,1999,7:40 AM,Wednesday,Boston,Massachusetts,public,1116,0,1,1,targeted,,m,,,0,,,,,,,,40,755,287,29,5,,,0,,,42.285268,-71.075901,,9,12,543,Suffolk County,25,25025,11
6,350069000240,Deming Middle School,3500690,Deming Public Schools,11/19/1999,1999-2000,1999,12:45 PM,Friday,Deming,New Mexico,public,753,1,0,1,accidental or targeted,12,m,h,student,0,,,,,,,,160,6,583,2,2,,,0,.22-caliber Colt revolver,home,32.261547,-107.762986,44,6,7,502,Luna County,35,35029,33
7,401197000559,Fort Gibson Middle School,4011970,Fort Gibson,12/6/1999,1999-2000,1999,7:45 AM,Monday,Fort Gibson,Oklahoma,public,407,0,5,5,indiscriminate,13,m,ai,student,0,,,,,,,,239,3,12,0,153,,,0,Taurus 9mm pistol,father,35.795556,-95.241921,25.4,6,8,146,Muskogee County,40,40101,32
8,120153001590,Ridgewood High School,1201530,Pasco,1/19/2000,1999-2000,2000,3:00 PM,Wednesday,New Port Richey,Florida,public,1852,1,0,1,accidental,16,m,w,student,0,,,,,,,,1697,28,96,26,5,,,1,.22-caliber Magnum handgun,stolen,28.273253,-82.687231,85,9,12,654,Pasco County,12,12101,21
9,062460009581,Alicia Reyes Elementary School,0624600,Merced City Elementary,1/26/2000,1999-2000,2000,8:34 AM,Wednesday,Merced,California,public,734,0,0,0,targeted,13,m,,no connection,0,,,,,,,,82,40,389,222,1,,,0,.22 caliber revolver,,37.286387,-120.494808,36,KG,5,643,Merced County,06,06047,13
10,170993000748,Duke Ellington Elementary School,1709930,City of Chicago School District 299,2/14/2000,1999-2000,2000,,Monday,Chicago,Illinois,public,736,0,1,1,accidental,11,m,,student,0,,,,,,,,0,736,0,0,0,,,0,,,41.885272,-87.766042,37,PK,6,,Cook County,17,17031,11
11,280132000190,Horn Lake High School,2801320,Desoto County School District,2/22/2000,1999-2000,2000,,Tuesday,Horn Lake,Mississippi,public,1197,0,0,0,targeted,,m,,,0,,,,,,,,991,166,25,14,1,,,0,handgun,,34.948919,-90.035423,65,9,12,324,DeSoto County,28,28033,21
